study,cell,proposal,seed,round,S,M,J,question_id,allocation_phase,trace_count,entropy,normalized_entropy,effective_count,effective_fraction,largest_weight,correct_trace_mass,mean_trace_age,weights_descending_json
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,84,after_last_inner_refresh,7,5.090101733423272e-11,2.615794843299614e-11,1.0,0.14285714285714285,1.0,1.0000000000018843,0,"[1.0,1.879528650772233e-12,4.658885768355414e-15,4.3898147951794565e-21,3.418791189953865e-21,0.0,0.0]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,54,after_last_inner_refresh,8,0.01056478700719418,0.005080588607775733,1.0027357602658604,0.12534197003323255,0.9986340403556824,0.9986344752753128,0,"[0.9986340403556824,0.0013249680632725358,4.001056731794961e-05,5.707201466975675e-07,2.6958909415952803e-07,1.635140591815798e-07,1.8164770798634322e-09,1.2228521970304755e-30]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,80,after_last_inner_refresh,8,5.136907726986132e-09,2.47033043440903e-09,1.0,0.125,1.0,1.000000000191717,0,"[1.0,1.917171560394948e-10,2.5946095966178362e-11,8.423464183116014e-12,5.175554941819762e-17,2.644237054249295e-28,3.531272130098539e-43,0.0]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,102,after_last_inner_refresh,8,0.1323432472225245,0.06364364882102606,1.0603397926862155,0.13254247408577693,0.970687747001648,0.9999999776482582,0,"[0.970687747001648,0.02931223064661026,3.639263409397994e-18,1.1132590476791646e-24,2.652194788011706e-31,4.2027025359751366e-35,0.0,0.0]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,15,after_last_inner_refresh,5,2.395053059388259e-06,1.488130135921802e-06,1.0000002384186009,0.20000004768372018,0.9999998807907104,1.4449801710725296e-07,0,"[0.9999998807907104,1.4449801710725296e-07,3.1580905708513644e-29,2.9172702266598055e-37,0.0]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,112,after_last_inner_refresh,7,1.4630332572896775e-09,7.518503657529822e-10,1.0,0.14285714285714285,1.0,1.0000000000622415,0,"[1.0,6.224144116773189e-11,1.1176086437054457e-14,8.993766055444109e-18,8.0402255938387e-23,2.0189000747124148e-30,2.1132637421060342e-38]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,86,after_last_inner_refresh,8,0.008143364696423627,0.003916130621226876,1.0020685107546614,0.12525856384433268,0.9989668130874634,0.001033171250909385,0,"[0.9989668130874634,0.0010322299785912037,9.412719919055235e-07,1.0251276910677731e-10,3.2627570892458657e-13,1.7464278450046028e-13,3.82029567494243e-16,2.4569825570604804e-29]"
common_grid,VIN-S8-B8-U1,question,31,0,8,8,1,110,after_last_inner_refresh,8,0.0008799939587431423,0.0004231876400969929,1.0001697684477346,0.12502122105596683,0.9999151229858398,5.6361550467563094e-21,0,"[0.9999151229858398,8.481103577651083e-05,4.598665337418595e-10,5.6361550467563094e-21,2.333332979620648e-28,6.218121741499507e-30,2.541204552632348e-32,1.5414283107572988e-44]"
common_grid,VIN-S8-B8-U1,question,31,1,8,8,1,101,after_last_inner_refresh,6,2.5628133846722148e-08,1.4303333838533325e-08,1.0,0.16666666666666666,1.0,1.0000000012501529,0,"[1.0,1.2501528701136522e-09,3.077497551657866e-19,2.6102790464535398e-23,3.240794168831719e-39,7.08916893101925e-42]"
common_grid,VIN-S8-B8-U1,question,31,1,8,8,1,111,after_last_inner_refresh,6,0.005245676727037437,0.0029276679248121597,1.0012533163373132,0.16687555272288554,0.999373733997345,1.7455966213436195e-32,0,"[0.999373733997345,0.000626334163825959,4.623932555977714e-22,1.7455966213436195e-32,1.3032075718220799e-43,0.0]"
