seed,round_zero_based,status,Q_before_first_update,Q_after_third_update,Q_change_through_three_updates,fourth_update_observed
31,0,eligible,-28.913391677411454,-28.697593752688753,0.21579792472270043,0
31,1,eligible,-42.17858793960129,-41.669681277273845,0.5089066623274476,0
31,2,eligible,-25.819956748346712,-25.569517526275654,0.2504392220710585,0
31,3,eligible,-17.989495688978906,-17.98369752478427,0.005798164194636968,0
31,4,eligible,-33.33199315058387,-33.0404965582959,0.2914965922879702,0
31,5,eligible,-36.37766099900992,-35.942694327710484,0.4349666712994349,0
31,6,eligible,-19.711941864310827,-19.443251248365694,0.26869061594513255,0
31,7,eligible,-25.921521246291668,-25.786540288871848,0.1349809574198204,0
31,8,eligible,-26.95091421868289,-26.695820682459487,0.25509353622340214,0
31,9,eligible,-18.843696393155007,-18.393487771821277,0.4502086213337293,0
31,10,eligible,-38.52901942933863,-38.01611694323037,0.5129024861082598,0
31,11,eligible,-22.304839367755285,-22.014389388465695,0.2904499792895905,0
31,12,eligible,-18.590183548363697,-18.14953221476452,0.4406513335991775,0
31,13,eligible,-16.791411739747303,-15.793997517827622,0.9974142219196818,0
31,14,eligible,-12.793087171671914,-12.49086538948518,0.30222178218673434,0
31,15,eligible,-15.927019711626869,-15.51118431197678,0.41583539965008853,0
31,16,eligible,-15.134621737339671,-14.415654083152146,0.7189676541875247,0
31,17,eligible,-14.02836856512559,-12.556979212623261,1.471389352502328,0
31,18,eligible,-4.471291150199249,-3.537811104208231,0.9334800459910184,0
31,19,eligible,-5.596016146242619,-5.15190682047978,0.4441093257628381,0
31,20,eligible,-5.834500708442647,-4.612149733002298,1.2223509754403494,0
31,21,eligible,-4.082188168610628,-3.1241597937660117,0.9580283748446163,0
31,22,eligible,-4.549605302061309,-3.3844438543083015,1.1651614477530075,0
31,23,eligible,-2.6517276536920074,-1.6820964362137911,0.9696312174782162,0
31,24,eligible,-4.729013711082519,-3.78892355887404,0.9400901522084792,0
31,25,eligible,-6.898538605833892,-4.823734469129704,2.074804136704188,0
31,26,eligible,-1.3934096309822097,-0.9910592699889137,0.402350360993296,0
31,27,eligible,-3.707727077533491,-2.4283657741034403,1.2793613034300506,0
31,28,eligible,-3.2510102535015903,-2.4214340592443477,0.8295761942572426,0
31,29,eligible,-9.214759834701882,-6.989307838280977,2.2254519964209045,0
31,30,eligible,-4.906712860800326,-3.6309951366856694,1.2757177241146564,0
31,31,eligible,-3.5442314771988563,-2.6114162947106427,0.9328151824882136,0
47,0,eligible,-26.735164416080817,-26.335136473953764,0.4000279421270534,0
47,1,eligible,-28.62468150908409,-28.137710501899868,0.4869710071842235,0
47,2,eligible,-40.9702878861222,-40.62215091107818,0.34813697504402086,0
47,3,eligible,-36.918625618120096,-36.68419224857518,0.23443336954491656,0
47,4,eligible,-29.48463717376579,-28.850372084159986,0.6342650896058046,0
47,5,eligible,-25.888154299997943,-25.93061494582985,-0.04246064583190545,0
47,6,eligible,-37.39572350454601,-37.09367309301282,0.30205041153319456,0
47,7,eligible,-24.23518142361411,-23.78732515551483,0.44785626809928303,0
47,8,eligible,-27.51548180694319,-27.037124524810395,0.4783572821327944,0
47,9,eligible,-22.041479474722554,-21.750765855516516,0.2907136192060378,0
47,10,eligible,-35.98965268616804,-35.413477012780405,0.5761756733876382,0
47,11,eligible,-19.264139670703557,-18.67707560912389,0.5870640615796674,0
47,12,eligible,-34.58675419805889,-33.9961915820281,0.5905626160307875,0
47,13,eligible,-26.152374951713135,-25.62541646004973,0.5269584916634038,0
47,14,eligible,-21.48533945898816,-20.918882676196745,0.5664567827914162,0
47,15,eligible,-19.598882328813488,-18.560880636272486,1.0380016925410018,0
47,16,eligible,-19.372119991511,-18.66907474442519,0.7030452470858108,0
47,17,eligible,-12.028481200453825,-11.52161635167431,0.5068648487795144,0
47,18,eligible,-10.890762386839924,-10.398801842509783,0.4919605443301407,0
47,19,eligible,-9.892597093192308,-9.00020014574693,0.892396947445377,0
47,20,eligible,-9.066378245261149,-7.955456546871574,1.1109216983895749,0
47,21,eligible,-4.670142702823796,-4.066299607606197,0.6038430952175986,0
47,22,eligible,-5.208431044333338,-4.050442651179765,1.1579883931535733,0
47,23,eligible,-6.839628553019295,-5.65263204369838,1.186996509320915,0
47,24,eligible,-4.611579088526696,-3.5241714663488892,1.0874076221778068,0
47,25,eligible,-6.366314338665688,-4.700797479864377,1.6655168588013112,0
47,26,eligible,-3.3462941106408834,-2.495541537180543,0.8507525734603405,0
47,27,eligible,-3.411538650681905,-2.510580805283098,0.900957845398807,0
47,28,eligible,-6.18925703648409,-5.019070462717323,1.1701865737667667,0
47,29,eligible,-4.269934505224228,-3.2426460832357407,1.0272884219884872,0
47,30,eligible,-7.018728798255324,-4.9353236593306065,2.083405138924718,0
47,31,eligible,-3.6054982684861443,-2.776270682940776,0.8292275855453681,0
73,0,eligible,-27.688122287328838,-27.523633247100186,0.16448904022865207,0
73,1,eligible,-23.5916562250994,-23.34742887648217,0.24422734861722972,0
